Ordem;TIPO;Emissão;Data Inicio;Data Término;Médio;Item;Referência;Estabelecimento;Linha;Tipo Controle;Grupo Estoque;Tipo Ordem;Custeio Mat.;Custeio GGF;Custeio MOB;Moeda;Conta Contabil;Centro de Custo;Qtde. Original;Qtde. Produzida;Data;Esp;Tipo Transação;Deposito;Série;Documento;Seq. Operação;Qtde Requisição/Reporte;Rendimentos kg;Rendimentos %;Valor Material;Valor GGF;Valor MOB;Item2;Referencia;Unidade Medida;NMB;Descrição;Preco Fiscal;Data Requisição/Reporte;Funcionário;Centro Custo;Grupo Maq;Hr. Reporte;Tempo Homem/Máquina;GGF/MOB Batch;Mob Dir;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;986,4348;0,0000;0,00%;3.960,4900;1.347,4200;0,0000;26000973;;KG;3;R-066 BULK;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;4.543,1320;0,0000;0,00%;13.864,9500;5.509,4200;121,3600;26000992;;KG;2;S-026 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;4.543,1320;0,0000;0,00%;13.864,9500;5.509,4200;121,3600;26000992;;KG;2;S-026 BULK;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;592,4250;0,0000;0,00%;3.438,7500;2.297,4400;42,5700;26001002;;KG;2;S-090 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;251,3740;0,0000;0,00%;1.459,1100;974,8300;18,0700;26001002;;KG;2;S-090 BULK;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;592,4250;0,0000;0,00%;3.438,7500;2.297,4400;42,5700;26001002;;KG;2;S-090 BULK;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;251,3740;0,0000;0,00%;1.459,1100;974,8300;18,0700;26001002;;KG;2;S-090 BULK;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;17,3800;0,0000;0,00%;194,8900;0,0000;0,0000;35002908;;KG;6;ACTICIDE MBS;0,0000;;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;RRQ;Ent;ALM;;64555;1;17,3800;0,0000;0,00%;194,8900;0,0000;0,0000;35002908;;KG;6;ACTICIDE MBS;0,0000;11/03/2024;;;;0,0000;0,0000;0,0000;;;
64.555;MAT;05/03/2024;11/03/2024;14/03/2024;31/03/2024;26000116;;200;4;2 - Total;30;Reaproveitamento;Total Requisitado;Total Requisitado;Total Requisitado;00 - ;1320000001;;10.100,0000;0,0000;11/03/2024;REQ;Sai;ALM;;64555;1;52,1400;0,0000;0,00%;511,2000;0,0000;0,0000;35006909;;KG;4;EKFLEX 483 - DIBP;0,0000;;;;;0,0000;0,0000;0,0000;;;
