Estabel;Item;Refer;Descrição;Nr Ordem;Data Emissão;Data Término;Estado;Qt Prevista;Qt Produzida;ACA sem REQ;REQ sem ACA;ACA sem GGF;GGF sem ACA;ACA sem MOB;MOB sem ACA;RRQ Sem REQ Item cor.;Restrição GGF/MOB;Últ Movto;Sem movto há 30 dias;Tipo
200;26000731;;CQ-642 BULK;65869;11/04/2024;21/04/2024;Finalizada;1500;1500;Não;Não;Não;Não;Sim;Não;Não;Não;24/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65870;11/04/2024;18/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65871;11/04/2024;18/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26001162;;HMK-4570-L BULK;65872;11/04/2024;18/04/2024;Finalizada;1543;1543;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26001117;;Advantra® PHC 9256L BULK;65873;11/04/2024;21/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;18/04/2024;Não;Bulk
200;26001117;;Advantra® PHC 9256L BULK;65874;11/04/2024;21/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26001117;;Advantra® PHC 9256L BULK;65875;11/04/2024;21/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000625;;CQ-4023/4 BULK;65876;11/04/2024;21/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000570;;CQ-1000 BULK;65877;11/04/2024;21/04/2024;Finalizada;5800;5800;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000702;;CQ-4443 BULK;65892;11/04/2024;22/04/2024;Finalizada;1810;1810;Não;Não;Não;Não;Sim;Não;Não;Não;19/04/2024;Não;Bulk
200;26000853;;CQ-7500 BULK;65893;11/04/2024;22/04/2024;Finalizada;1575;1515;Não;Não;Não;Não;Sim;Não;Não;Não;23/04/2024;Não;Bulk
200;26000825;;CQ-712 BULK;65894;11/04/2024;22/04/2024;Finalizada;1500;1500;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000793;;CQ-7039/5 BULK;65895;11/04/2024;22/04/2024;Finalizada;2600;2600;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000789;;CQ-7035 BULK;65896;11/04/2024;22/04/2024;Finalizada;2800;2783,95;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
200;26000662;;CQ-4163/1 BULK;65903;11/04/2024;22/04/2024;Finalizada;3800;3800;Não;Não;Não;Não;Sim;Não;Não;Não;20/04/2024;Não;Bulk
200;26000690;;CQ-4260 BULK;65904;11/04/2024;22/04/2024;Finalizada;4000;4000;Não;Não;Não;Não;Sim;Não;Não;Não;22/04/2024;Não;Bulk
